reviewcontent,reviewtype,topcritic,genres,productioncompany,movieinfo_rottentomatoeslink_movietitle
"""The film fits into the same conserva-fantasy zone that """"American Sniper"""" occupies",Fresh,False,"Action & Adventure, Drama",Paramount Pictures,"On Sept. 11, 2012, Islamic militants attack the U.S. Consulate in Benghazi, Libya, killing Ambassador J. Christopher Stevens and Sean Smith, an officer for the Foreign Service. Stationed less than one mile away are members (James Badge Dale, John Krasinski, Max Martini) of the Annex Security Team, former soldiers assigned to protect operatives and diplomats in the city. As the assault rages on, the six men engage the combatants in a fierce firefight to save the lives of the remaining Americans.m/13_hours_the_secret_soldiers_of_benghazi13 Hours: The Secret Soldiers Of Benghazi"
"Fist Fight isn't there to make you think, but to make you laugh, and it mostly does.",Fresh,True,Comedy,Warner Bros. Pictures,"On the last day before summer vacation, high school teacher Andy Campbell tries his best to keep it together amid senior pranks, a dysfunctional administration and budget cuts that threaten his job. Things go from bad to worse when he crosses Ron Strickland, the school's toughest and most feared teacher. When Strickland gets fired, he challenges Campbell to a fight after school. As news of the showdown spreads like wildfire, poor Andy desperately seeks any way out of his date with certain doom.m/fist_fight_2017Fist Fight"
"2012 is a fun ride, so long as you don't think about how silly it all is.",Fresh,False,"Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy",Sony Pictures/Columbia,"Earth's billions of inhabitants are unaware that the planet has an expiration date. With the warnings of an American scientist (Chiwetel Ejiofor), world leaders begin secret preparations for the survival of select members of society. When the global cataclysm finally occurs, failed writer Jackson Curtis (John Cusack) tries to lead his family to safety as the world starts falling apart.m/20122012"
The magnetic Vega and the film as a whole deserve credit for conveying a message of acceptance that feels relevant without turning heavy-handed.,Fresh,False,"Art House & International, Drama",Sony Pictures Classics,A transgender singer faces scorn and discrimination after the sudden death of her older boyfriend.m/a_fantastic_womanA Fantastic Woman (Una mujer fantástica)
"Remarkable in concept and utterly exquisite in its execution, this domestic drama at the deeply conflicted crossroads of family wounds and medical healing, would have baffled even Solomon as to the ultimate value of a child.",Fresh,False,Drama,Warner Bros. Pictures,"Conceived as a marrow donor for her gravely ill sister, Anna Fitzgerald (Abigail Breslin) has undergone countless surgeries and medical procedures in her short life. Though their older daughter's life has no doubt been prolonged, the unorthodox decision of Anna's parents has cracked the entire family's foundation. When Anna sues her parents for emancipation, it sets off a court case that threatens to destroy the family for good.m/10010662-my_sisters_keeperMy Sister's Keeper"
"Swapping out the usual relationship tangle for a cancer-centric plot, 50/50 feels like this year's (500) Days Of Summer.",Fresh,False,"Comedy, Drama",Summit Entertainment,"Adam Lerner (Joseph Gordon-Levitt) has always tried to take good care of his health, so it comes as a cruel surprise when he learns that he has malignant tumors along his spine. His doctor gives him a 50/50 chance of survival, but Adam tries to remain upbeat, though his mother (Anjelica Huston) and his friend Kyle (Seth Rogen), react badly to the news. Adam starts seeing a therapist (Anna Kendrick), but their relationship threatens to cross the boundary between doctor and patient.m/5050_201150/50"
"This is [Charlotte] Rampling's film from beginning to end, and she holds the screen effortlessly.",Fresh,False,Drama,Sundance Selects,"As their 45th wedding anniversary approaches, a woman (Charlotte Rampling) learns that her husband (Tom Courtenay) was once engaged to someone else.m/45_years45 Years"
"Now we know how the world ends -- with a whimper, a very loud whimper.",Rotten,False,"Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy",Sony Pictures/Columbia,"Earth's billions of inhabitants are unaware that the planet has an expiration date. With the warnings of an American scientist (Chiwetel Ejiofor), world leaders begin secret preparations for the survival of select members of society. When the global cataclysm finally occurs, failed writer Jackson Curtis (John Cusack) tries to lead his family to safety as the world starts falling apart.m/20122012"
Shows in an odd and low-key way the absurdity of war and how Americans can be undone by their inability to wait.,Fresh,False,Drama,Universal Pictures,"In the late 1980s, Anthony Swofford (Jake Gyllenhaal) enlists as a Marine, training in boot camp under a sadistic drill instructor. Swofford undertakes a sniper course headed by Staff Sgt. Sykes (Jamie Foxx) during this time, which is shortly before the advent of the Gulf War. When the United States becomes involved, Swofford is shipped out, along with his spotter, Alan Troy (Peter Sarsgaard). Facing uncertainty each day -- about the war and home -- the soldiers try to maintain composure.m/1152567-jarheadJarhead"
"Goth is brilliant as a confused, brainwashed, and innocent girl... she's definitely an intriguing actress that I could see her getting a lot more work in period pieces and other horror films.",Fresh,False,Mystery & Suspense,20th Century Fox,A Wall Street stockbroker (Dane DeHaan) travels to a remote location in the Swiss Alps to retrieve his company's CEO (Harry Groener) from an idyllic but mysterious wellness center. He soon suspects that the miraculous treatments are not what they seem. His sanity is tested when he unravels the spa's terrifying secrets and finds himself diagnosed with the same curious illness that keeps all of the guests there longing for a cure.m/a_cure_for_wellnessA Cure For Wellness
"""Wallace and Bay aren't striving for gutsy realism. """"Pearl Harbor"""" isn't so much about the start of WWII as it is about Hollywood perceptions of WWII.""",Fresh,False,"Action & Adventure, Drama, Romance",Touchstone,"This sweeping drama, based on real historical events, follows American boyhood friends Rafe McCawley (Ben Affleck) and Danny Walker (Josh Hartnett) as they enter World War II as pilots. Rafe is so eager to take part in the war that he departs to fight in Europe alongside England's Royal Air Force. On the home front, his girlfriend, Evelyn (Kate Beckinsale), finds comfort in the arms of Danny. The three of them reunite in Hawaii just before the Japanese attack on Pearl Harbor.m/1108389-pearl_harborPearl Harbor"
[I]t is a movie so desperate for your approval that it's less like a fish than a yapping puppy that keeps soiling the rug.,Rotten,False,"Comedy, Drama",Sony Pictures,"When Edward Bloom (Albert Finney) becomes ill, his son, William (Billy Crudup), travels to be with him. William has a strained relationship with Edward because his father has always told exaggerated stories about his life, and William thinks he's never really told the truth. Even on his deathbed, Edward recounts fantastical anecdotes. When William, who is a journalist, starts to investigate his father's tales, he begins to understand the man and his penchant for storytelling.m/1127787-big_fishBig Fish"
"This ingenious and claustrophobic thriller is compact enough to be almost the movie equivalent of a black box theater production: For most of its length, it needs only three characters and a single location to keep audiences on edge.",Fresh,False,"Drama, Mystery & Suspense, Science Fiction & Fantasy",Bad Robot Productions,"After surviving a car accident, Michelle (Mary Elizabeth Winstead) wakes up to find herself in an underground bunker with two men. Howard (John Goodman) tells her that a massive chemical attack has rendered the air unbreathable, and their only hope of survival is to remain inside. Despite the comforts of home, Howard's controlling and menacing nature makes Michelle want to escape. After taking matters into her own hands, the young woman finally discovers the truth about the outside world.m/10_cloverfield_lane10 Cloverfield Lane"
Third time's a charm for Ice Cube & company!,Fresh,False,Comedy,Warner Bros. Pictures,"To survive harsh economic times, Calvin and Angie have merged the barbershop and beauty salon into one business. The days of male bonding are gone as Eddie and the crew must now contend with sassy female co-workers and spirited clientele. As the battle of the sexes rages on, a different kind of conflict has taken over Chicago. Crime and gangs are on the rise, leaving Calvin worried about the fate of his son. Together, the friends come up with a bold plan to take back their beloved neighborhood.m/barbershop_the_next_cut_2016Barbershop: The Next Cut"
